Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status
rospy.Time[1638475972459169505],-65.07664597166666,44.95517573333333,8.939,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475972663499640],-65.076628245,44.955180338333335,8.933,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475972861836721],-65.076610535,44.95518507166667,8.904999999999998,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475973076513636],-65.07659265666666,44.95518978166667,8.889999999999997,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475973257693269],-65.07657490333334,44.95519446833333,8.870999999999999,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475973467206940],-65.07655714,44.95519935666667,8.86,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475973656086484],-65.07653932666666,44.95520414333333,8.844999999999999,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475973864603120],-65.07652183833333,44.955209233333335,8.825,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475974069934956],-65.07650447333333,44.95521408166667,8.805,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475974259853358],-65.07648700666667,44.955219005,8.777999999999999,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475974464364750],-65.07646956333333,44.955223896666666,8.745999999999999,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475974663922929],-65.07645294166667,44.955228811666665,8.732999999999997,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475974859933222],-65.07643646833333,44.95523369666667,8.706999999999997,0.0004,0.0004,0.0064,2.0
rospy.Time[1638475975079686977],-65.07641999166667,44.95523831166667,8.675999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475975266078118],-65.07640452833333,44.95524332,8.695999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475975459627589],-65.07638936833334,44.955247928333335,8.68,0.000324,0.000324,0.005184,2.0
rospy.Time[1638475975662530271],-65.07637436666667,44.955252406666666,8.678999999999998,0.000324,0.000324,0.005184,2.0
rospy.Time[1638475975863127133],-65.07636018666666,44.95525702,8.687999999999999,0.000324,0.000324,0.005184,2.0
rospy.Time[1638475976059731974],-65.07634658666667,44.95526134833333,8.692999999999998,0.000324,0.000324,0.005184,2.0
rospy.Time[1638475976264236003],-65.07633352,44.95526528333333,8.687999999999999,0.000324,0.000324,0.005184,2.0
rospy.Time[1638475976460273372],-65.07632124333334,44.95526925166666,8.686,0.000324,0.000324,0.005184,2.0
rospy.Time[1638475976662664848],-65.07630963333334,44.95527301333333,8.686999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475976858535931],-65.07629857,44.955276565,8.678999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475977073851293],-65.07628820333333,44.955279885,8.684999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475977265154035],-65.07627854333333,44.955282955,8.669999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475977459839073],-65.07626967166667,44.95528588,8.651999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475977668617255],-65.07626148166666,44.955288548333336,8.639,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475977864783789],-65.07625389833333,44.95529099,8.629999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475978065200191],-65.07624709166667,44.95529312666667,8.625999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475978263994933],-65.07624099666667,44.95529530833333,8.628,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475978459453359],-65.07623569833333,44.95529710833333,8.620999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475978665192116],-65.07623100666666,44.95529862666667,8.613999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475978872547574],-65.07622723333333,44.95529998166667,8.597999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475979076855008],-65.07622404333334,44.95530107166667,8.585999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475979268029969],-65.076220935,44.95530197333333,8.596,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475979459886217],-65.07621797166667,44.95530283,8.588999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475979666594901],-65.07621523333333,44.95530385166666,8.573999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475979857510160],-65.07621212333333,44.95530484333333,8.587999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475980076706051],-65.07620890666666,44.95530592166666,8.597999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475980272066166],-65.07620551166667,44.95530709,8.572,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475980457925341],-65.07620198833334,44.95530853833333,8.572999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475980675064034],-65.07619827166667,44.95531009166667,8.579999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475980866044000],-65.07619413166667,44.95531181166667,8.584,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475981074000026],-65.07618981333333,44.955313923333335,8.578999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475981261637949],-65.076185375,44.955316331666666,8.568999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475981464070502],-65.07618065166666,44.955319235,8.561,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475981662057671],-65.07617593,44.955322645,8.546999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475981876108835],-65.07617118166667,44.955326281666665,8.584,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475982063525552],-65.07616632833333,44.95533039333333,8.582999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475982267412207],-65.07616140833333,44.95533478833333,8.582999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475982472560874],-65.07615686666666,44.95533969666667,8.584999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475982664143607],-65.07615275166667,44.95534503833333,8.604,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475982857396548],-65.07614893666667,44.955351075,8.619999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475983073214072],-65.076145715,44.95535739333334,8.620999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475983256835890],-65.07614283666666,44.955364296666666,8.640999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475983465307820],-65.07614058666667,44.955371801666665,8.646999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475983657865646],-65.07613898166667,44.95537962666667,8.643999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475983855204348],-65.07613759666667,44.955387785,8.689,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475984058056468],-65.07613736166667,44.95539652,8.710999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475984255669626],-65.07613844166667,44.95540562833333,8.716999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475984461178895],-65.07613975333334,44.95541516166666,8.729999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475984657112580],-65.07614138,44.95542502666667,8.761999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475984854341726],-65.07614396666666,44.95543548,8.780999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475985077790687],-65.07614736166667,44.95544630166667,8.779999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475985258575387],-65.07615047833333,44.95545761833333,8.805,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475985460765985],-65.07615428166666,44.95546921666666,8.831999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475985654539505],-65.07615915833334,44.955481123333335,8.841000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475985851848054],-65.07616441166667,44.95549340666667,8.869,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475986059972874],-65.07617061666667,44.955506041666666,8.873000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475986254616436],-65.07617738666667,44.95551890833333,8.901,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475986457445626],-65.076184635,44.955531961666665,8.939,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475986659965315],-65.07619265833333,44.955545443333335,8.978000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475986851955114],-65.07620068333334,44.95555967666667,9.031,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475987067084912],-65.07620973333333,44.955574035,9.062,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475987255021865],-65.07621902,44.955588731666666,9.078,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475987452853879],-65.07622806666667,44.95560372333333,9.113,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475987668244836],-65.07623748166667,44.95561903833333,9.175,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475987852336193],-65.07624735666667,44.95563467666667,9.222,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475988059435182],-65.07625724666667,44.95565085333333,9.265,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475988254553392],-65.076267335,44.95566733333333,9.306,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475988456664030],-65.07627762333334,44.955684008333336,9.355999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475988660477891],-65.07628826666667,44.95570116,9.427,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475988854754984],-65.07629901666667,44.955718583333336,9.495,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475989062878212],-65.07630997166666,44.95573642833333,9.564,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475989254922488],-65.07632107833334,44.955754688333336,9.628,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475989468917885],-65.07633241833334,44.95577324333333,9.696000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475989656446597],-65.07634423833333,44.955791956666665,9.757,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475989855318951],-65.07635618333333,44.955811223333335,9.822,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475990063657006],-65.07636863,44.955830688333336,9.882,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475990257241771],-65.07638111,44.955850585,9.941,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475990454555680],-65.07639370666666,44.95587083,10.001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475990658995277],-65.07640639666667,44.95589152833333,10.049000000000005,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475990857232339],-65.07641938333333,44.95591249666667,10.110000000000005,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475991072171286],-65.07643260333333,44.95593371833333,10.166,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475991258632624],-65.07644613666666,44.95595530333333,10.218999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475991468238991],-65.07645984333334,44.95597729333333,10.264999999999995,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475991671092107],-65.076473665,44.955999608333336,10.322,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475991855120771],-65.07648753166667,44.95602219,10.377999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475992069935551],-65.07650211,44.956045085,10.432999999999996,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475992259309454],-65.07651652166666,44.95606846333333,10.486,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475992462060660],-65.07653114,44.95609219,10.505999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475992655655394],-65.07654607333333,44.956116155,10.538999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475992852094106],-65.07656148333334,44.95614037333333,10.572999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475993070907782],-65.07657679333333,44.95616502666667,10.593999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475993264374781],-65.07659223166667,44.95619022,10.617,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475993460461922],-65.07660796833333,44.95621561166666,10.648,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475993663648314],-65.07662396166667,44.95624152166667,10.681,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475993856429535],-65.07664014333334,44.956267536666665,10.706999999999995,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475994055073329],-65.07665684666667,44.95629387333334,10.752999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475994255330506],-65.07667316166666,44.95632102666666,10.807,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475994456491795],-65.07668954166667,44.95634823,10.813999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475994683028699],-65.07670633666666,44.956375496666666,10.876,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475994853026384],-65.07672351666666,44.95640337666666,10.956999999999995,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475995068120209],-65.07674079666667,44.956431558333335,10.979000000000005,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475995267252345],-65.07675835,44.95645994833333,11.013000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475995453536673],-65.076775965,44.95648871666667,11.053,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475995664408644],-65.07679355666667,44.956517868333336,11.075,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475995861210731],-65.07681098833334,44.95654722,11.078000000000005,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475996055444017],-65.07682832166667,44.95657664,11.088,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475996254463677],-65.07684595833334,44.95660619666667,11.106000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475996454788355],-65.07686372666667,44.95663579833333,11.130000000000004,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475996665904315],-65.07688147166667,44.95666564,11.168,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475996863032442],-65.07689913833333,44.95669557666667,11.189999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475997064559433],-65.07691700166667,44.95672565666667,11.211,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475997265197894],-65.076935235,44.95675567833333,11.235,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475997464372611],-65.07695357166666,44.95678577166667,11.250999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475997650423397],-65.07697231333333,44.95681602166667,11.270000000000003,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475997865741333],-65.07699119666667,44.95684642333333,11.29,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475998065592204],-65.07701015833334,44.95687668333333,11.317,0.000256,0.000256,0.004096,2.0
