Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475970065146700],-65.07684335,44.95512681,8.882,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475970266897266],-65.07682841,44.95513058,8.887,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475970461773337],-65.07681309,44.95513423,8.91,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475970655736267],-65.07679747,44.95513794,8.929,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475970872045528],-65.07678186,44.95514198,8.949,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475971071675867],-65.07676575,44.95514592,8.956,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475971264045061],-65.07674948,44.95514987,8.954,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475971466100228],-65.07673289,44.95515392,8.975,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475971672988949],-65.07671612,44.95515816,8.98,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475971859028307],-65.07669886,44.95516251,8.972,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475972066733281],-65.07668144,44.95516683,8.971,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475972257137818],-65.07666377,44.95517133,8.969,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475972459169505],-65.07664597,44.95517573,8.939,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475972663499640],-65.07662825,44.95518034,8.933,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475972861836721],-65.07661054,44.95518507,8.905,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475973076513636],-65.07659266,44.95518978,8.89,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475973257693269],-65.0765749,44.95519447,8.871,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475973467206940],-65.07655714,44.95519936,8.86,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475973656086484],-65.07653933,44.95520414,8.845,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475973864603120],-65.07652184,44.95520923,8.825,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475974069934956],-65.07650447,44.95521408,8.805,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475974259853358],-65.07648701,44.95521901,8.778,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475974464364750],-65.07646956,44.9552239,8.746,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475974663922929],-65.07645294,44.95522881,8.733,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475974859933222],-65.07643647,44.9552337,8.707,0.0004,0.0004,0.0064,2, None, None, None, None, None, None
rospy.Time[1638475975079686977],-65.07641999,44.95523831,8.676,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475975266078118],-65.07640453,44.95524332,8.696,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475975459627589],-65.07638937,44.95524793,8.68,0.000324,0.000324,0.005184,2, None, None, None, None, None, None
rospy.Time[1638475975662530271],-65.07637437,44.95525241,8.679,0.000324,0.000324,0.005184,2, None, None, None, None, None, None
rospy.Time[1638475975863127133],-65.07636019,44.95525702,8.688,0.000324,0.000324,0.005184,2, None, None, None, None, None, None
rospy.Time[1638475976059731974],-65.07634659,44.95526135,8.693,0.000324,0.000324,0.005184,2, None, None, None, None, None, None
rospy.Time[1638475976264236003],-65.07633352,44.95526528,8.688,0.000324,0.000324,0.005184,2, None, None, None, None, None, None
rospy.Time[1638475976460273372],-65.07632124,44.95526925,8.686,0.000324,0.000324,0.005184,2, None, None, None, None, None, None
rospy.Time[1638475976662664848],-65.07630963,44.95527301,8.687,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475976858535931],-65.07629857,44.95527657,8.679,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475977073851293],-65.0762882,44.95527989,8.685,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475977265154035],-65.07627854,44.95528296,8.67,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475977459839073],-65.07626967,44.95528588,8.652,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475977668617255],-65.07626148,44.95528855,8.639,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475977864783789],-65.0762539,44.95529099,8.63,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475978065200191],-65.07624709,44.95529313,8.626,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475978263994933],-65.076241,44.95529531,8.628,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475978459453359],-65.0762357,44.95529711,8.621,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475978665192116],-65.07623101,44.95529863,8.614,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475978872547574],-65.07622723,44.95529998,8.598,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475979076855008],-65.07622404,44.95530107,8.586,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475979268029969],-65.07622094,44.95530197,8.596,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475979459886217],-65.07621797,44.95530283,8.589,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475979666594901],-65.07621523,44.95530385,8.574,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475979857510160],-65.07621212,44.95530484,8.588,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475980076706051],-65.07620891,44.95530592,8.598,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475980272066166],-65.07620551,44.95530709,8.572,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475980457925341],-65.07620199,44.95530854,8.573,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475980675064034],-65.07619827,44.95531009,8.58,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475980866044000],-65.07619413,44.95531181,8.584,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475981074000026],-65.07618981,44.95531392,8.579,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475981261637949],-65.07618538,44.95531633,8.569,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475981464070502],-65.07618065,44.95531924,8.561,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475981662057671],-65.07617593,44.95532265,8.547,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475981876108835],-65.07617118,44.95532628,8.584,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
